x1,x2,x3,x4,x5,x6,y
0.27262382,0.32449536,0.89710881,0.83295115,0.15406269,0.79586362,0.60443270
0.54300258,0.92469390,0.34156746,0.64648585,0.71844033,0.34313266,0.56275307
0.09083225,0.66152938,0.06593091,0.25857701,0.96345285,0.64026540,0.00750324
0.11886697,0.61505494,0.90581639,0.85530030,0.41363143,0.58523563,0.06142430
0.63021764,0.83809690,0.68001305,0.73189509,0.52673671,0.34842921,0.27304680
0.76491917,0.25588292,0.60908422,0.21807904,0.32294277,0.09579366,0.08374657
0.05789554,0.49167222,0.24742222,0.21811844,0.42042833,0.73096984,1.36496830
0.19525188,0.07922665,0.55458046,0.17056682,0.01494418,0.10703171,0.09264495
0.64230298,0.83687455,0.02179269,0.10148801,0.68307083,0.69241640,0.01786960
0.78994255,0.19554501,0.57562333,0.07365919,0.25904917,0.05109986,0.03356494
0.52849733,0.45742436,0.36009569,0.36204551,0.81689098,0.63747637,0.07351630
0.72261522,0.01181284,0.06364591,0.16517311,0.07924415,0.35995166,0.20630970
0.07566492,0.33450212,0.13273274,0.60831236,0.91838592,0.82233079,0.00882563
0.94245084,0.37743962,0.48612233,0.22879108,0.08263175,0.71195755,0.26840032
0.14864702,0.03394336,0.72880565,0.31606646,0.02176938,0.51691776,0.61152553
0.81711239,0.54816823,0.10334758,0.12436955,0.72823482,0.44967361,0.01479818
0.41762629,0.06409998,0.24566877,0.55904080,0.19153138,0.25464092,0.27489251
0.72628566,0.46489581,0.92457051,0.80724540,0.63543840,0.14341787,0.06676325
0.31981043,0.52009759,0.29067775,0.87670668,0.49503469,0.61908250,0.04211835
0.87987128,0.39796199,0.00363456,0.95699064,0.26451373,0.11486924,0.00270147
0.54124078,0.63140314,0.03190205,0.44998156,0.79865282,0.63370429,0.01820907
0.22634792,0.11502581,0.82474966,0.94538372,0.90531153,0.95101392,0.00701603
0.68685257,0.04101721,0.00757301,0.28500900,0.69156848,0.65554290,0.10050661
0.17597754,0.62441650,0.29554198,0.46955276,0.09776977,0.72814108,0.47539552
0.88164674,0.20445019,0.41447436,0.42038468,0.26491501,0.73066019,0.67514163
0.06661051,0.52804507,0.81609520,0.96101714,0.08650933,0.77778822,0.51645722
0.93246638,0.48881189,0.25860774,0.95624344,0.19042781,0.51985176,0.00377748
0.84686697,0.14242917,0.06066859,0.75629213,0.55239830,0.08130609,0.00313433
0.80628208,0.32412237,0.72607601,0.14871213,0.71937640,0.36288398,0.02134252
0.47682313,0.34094195,0.01433523,0.88013956,0.99865470,0.07966402,0.09541116
